序号,汉字,拆解,细节说明,初检,拆几个
0001,一,一,,ok,1
0002,乙,乙,,ok,1
0003,二,一，一,,ok,2
0004,十,一，丨,,ok,2
0005,丁,丁,,ok,1
0006,厂,厂,,ok,1
0007,七,七,,ok,1
0008,卜,卜,,ok,1
0009,八,八,,ok,1
0010,人,人,,ok,1
0011,入,入,,ok,1
0012,儿,儿,,ok,1
0013,匕,匕,,ok,1
0014,几,几,,ok,1
0015,九,九,,ok,1
0016,刁,刁,,ok,1
0017,了,了,,ok,1
0018,刀,刀,,ok,1
0019,力,力,,ok,1
0020,乃,乃,,ok,1
0021,又,又,,ok,1
0022,三,一，一，一,,ok,3
0023,干,干,,ok,1
0024,于,于,,ok,1
0025,亏,一，丂,,ok,2
0026,工,工,,ok,1
0027,土,土,,ok,1
0028,士,士,,ok,1
0029,才,才,,ok,1
0030,下,下,,ok,1
0031,寸,寸,,ok,1
0032,大,大,,ok,1
0033,丈,丈,,ok,1
0034,与,与,,ok,1
0035,万,万,,ok,1
0036,上,上,,ok,1
0037,小,小,,ok,1
0038,口,口,,ok,1
0039,山,山,,ok,1
0040,巾,巾,,ok,1
0041,千,千,,ok,1
0042,乞,乞,,ok,1
0043,川,川,,ok,1
0044,亿,亻，乙,,ok,2
0045,个,个,,ok,1
0046,夕,夕,,ok,1
0047,久,久,,ok,1
0048,么,么,,ok,1
0049,勺,勺,,ok,1
0050,凡,凡,,ok,1
0051,丸,丸,,ok,1
0052,及,及,,ok,1
0053,广,广,,ok,1
0054,亡,亡,,ok,1
0055,门,门,,ok,1
0056,丫,丫,,ok,1
0057,义,义,,ok,1
0058,之,之,,ok,1
0059,尸,尸,,ok,1
0060,己,己,,ok,1
0061,已,已,,ok,1
0062,巳,巳,,ok,1
0063,弓,弓,,ok,1
0064,子,子,,ok,1
0065,卫,卫,,ok,1
0066,也,也,,ok,1
0067,女,女,,ok,1
0068,刃,刃,,ok,1
0069,飞,飞,,ok,1
0070,习,习,,ok,1
0071,叉,叉,,ok,1
0072,马,马,,ok,1
0073,乡,乡,,ok,1
0074,丰,丰,,ok,1
0075,王,王,,ok,1
0076,开,开,,ok,1
0077,井,井,,ok,1
0078,天,天,,ok,1
0079,夫,夫,,ok,1
0080,元,元,,ok,1
0081,无,无,,ok,1
0082,云,云,,ok,1
0083,专,专,,ok,1
0084,丐,丐,,ok,1
0085,扎,扌，乚,,ok,2
0086,艺,艹，乙,,ok,2
0087,木,木,,ok,1
0088,五,五,,ok,1
0089,支,支,,ok,1
0090,厅,厂，丁,,ok,2
0091,不,不,,ok,1
0092,犬,犬,,ok,1
0093,太,太,,ok,1
0094,区,匚，㐅,,ok,2
0095,历,厂，力,,ok,2
0096,歹,歹,,ok,1
0097,友,𠂇，又,,ok,2
0098,尤,尤,,ok,1
0099,匹,匹,,ok,1
0100,车,车,,ok,1
0101,巨,巨,,ok,1
0102,牙,牙,,ok,1
0103,屯,屯,,ok,1
0104,戈,戈,,ok,1
0105,比,比,,ok,1
0106,互,互,,ok,1
0107,切,七b，刀,,变,2
0108,瓦,瓦,,ok,1
0109,止,止,,ok,1
0110,少,少,,ok,1
0111,曰,曰,,ok,1
0112,日,日,,ok,1
0113,中,中,,ok,1
