序号,笔画,汉字,拼音,部件
3500,二十四画,矗,chù,直，直，直
3499,二十二画,瓤,ráng,襄，瓜
3498,二十二画,镶,xiāng,钅，襄
3497,二十二画,蘸,zhàn,艹，酉，焦
3496,二十一画,髓,suǐ,骨，辶，左，月
3495,二十一画,躏,lìn,足，艹，门，隹
3494,二十一画,霹,pī,雨，辟
3493,二十画,譬,pì,辟，言
3492,二十画,糯,nuò,米，需
3491,二十画,鳞,lín,鱼，粦
3490,二十画,巍,wēi,山，委，鬼
3489,二十画,蠕,rú,虫，需
3488,二十画,攘,rǎng,扌，襄
3487,二十画,鬓,bìn,髟，宾
3486,十九画,羹,gēng,羔，美
3485,十九画,癣,xuǎn,疒，鱼，羊
3484,十九画,靡,mí,麻，非
3483,十九画,蟹,xiè,角，刀，牛，虫
3482,十九画,簿,"bù,bó",?，氵，甫，寸
3481,十九画,簸,"bò,bǒ",?，其，皮
3480,十九画,蹬,dēng,足，登
3479,十九画,蹭,cèng,足，曾
3478,十九画,鳖,biē,敝，鱼
3477,十九画,藻,zǎo,艹，氵，喿
3476,十九画,蘑,mó,艹，麻，石
3475,十九画,孽,niè,艹，??，辛，子
3474,十九画,攒,"zǎn,cuán",扌，赞
3473,十八画,戳,chuō,翟，戈
3472,十八画,璧,bì,辟，玉
3471,十八画,襟,jīn,衤，禁
3470,十八画,瀑,"pù,bào",氵，暴
3469,十八画,癞,lài,疒，赖
3468,十八画,鳍,qí,鱼，耆
3467,十八画,嚣,xiāo,口，口，页，口，口
3466,十八画,瞻,zhān,目，詹
3465,十八画,藤,téng,艹，月，?，氺
3464,十八画,藕,ǒu,艹，耒，禺
3463,十七画,臀,tún,尸，共，殳，月
3462,十七画,豁,"huō,huò,huá",害，谷
3461,十七画,懦,nuò,忄，需
3460,十七画,癌,ái,疒，品，山
3459,十七画,糜,"mí,méi",麻，米
3458,十七画,鳄,è,鱼，口，口，亏
3457,十七画,臊,"sāo,sào",月，喿
3456,十七画,朦,méng,月，蒙
3455,十七画,爵,jué,爫，罒，皀，寸
3454,十七画,徽,huī,彳，山，一，糸，攵
3453,十七画,儡,lěi,亻，田，田，田
3452,十七画,簇,cù,?，?，矢
3451,十七画,魏,wèi,委，鬼
3450,十七画,镣,liào,钅，尞
3449,十七画,赡,shàn,贝，詹
3448,十七画,嚎,háo,口，高，豕
3447,十七画,蟀,shuài,虫，率
3446,十七画,蟋,xī,虫，悉
3445,十七画,蹋,tà,足，日，羽
3444,十七画,曙,shǔ,日，罒，者
3443,十七画,瞪,dèng,目，登
3442,十七画,瞳,tóng,目，童
3441,十七画,瞬,shùn,目，爫，冖，舛
3440,十七画,瞭,liǎo,目，尞
3439,十七画,磷,lín,石，粦
3438,十七画,礁,jiāo,石，焦
3437,十七画,檀,tán,木，亶
3436,十七画,檩,lǐn,木，禀
3435,十七画,檐,yán,木，詹
3434,十七画,檬,méng,木，蒙
3433,十七画,藐,miǎo,艹，豸，白，儿
3432,十七画,壕,háo,土，豪
3431,十六画,缰,jiāng, 纟，畺
3430,十六画,窿,lóng,穴，阝，夂，一，生
3429,十六画,懈,xiè,忄，解
3428,十六画,憾,hàn,忄，感
3427,十六画,濒,bīn,氵，步，页
3426,十六画,燎,"liáo,liǎo",火，尞
3425,十六画,糙,cāo,米，辶，告
3424,十六画,瘸,qué,疒，加，肉
3423,十六画,瘾,yǐn,疒，阝，刍，心
3422,十六画,鲸,jīng,鱼，京
3421,十六画,膳,shàn,月，善
3420,十六画,儒,rú,亻，需
3419,十六画,篱,lí,?，离
3418,十六画,篙,gāo,?，高
3417,十六画,篷,péng,?，辶，夆
3416,十六画,篡,cuàn,?，目，大，厶
3415,十六画,穆,mù,禾，白，小，彡
3414,十六画,黔,qián,黑，今
3413,十六画,鹦,yīng,婴，鸟
3412,十六画,噪,zào,口，喿
3411,十六画,螟,míng,虫，冥
3410,十六画,螃,páng,虫，旁
3409,十六画,蟆,"má,mò",虫，莫
3408,十六画,蹂,róu,足，柔
3407,十六画,踱,duó,足，度
3406,十六画,冀,jì,北，田，共
3405,十六画,辙,zhé,车，育，攵
3404,十六画,霎,shà,雨，妾
3403,十六画,霍,huò,雨，隹
3402,十六画,蟥,huáng,虫，黄
3401,十六画,瓢,piáo,票，瓜
3400,十六画,橙,chéng,
3399,十六画,橱,chú,
3398,十六画,噩,è,
3397,十六画,翰,hàn,
3396,十六画,擎,qíng,
3395,十六画,薇,wēi,
3394,十六画,薛,xuē,
3393,十六画,蕾,lěi,
3392,十六画,擅,shàn,
3391,十六画,擂,"léi,lèi",
3390,十六画,撼,hàn,
3389,十五画,缭,liáo,
3388,十五画,豫,yù,
3387,十五画,嬉,xī,
3386,十五画,履,lǚ,
3385,十五画,憨,hān,
3384,十五画,鹤,hè,
3383,十五画,谴,qiǎn,
3382,十五画,褥,rù,
3381,十五画,翩,piān,
3380,十五画,憎,zēng,
